business_id,latitude,longitude,review_count
ac1AeYqs8Z4_e2X5M3if2A,29.95623100,-90.06756300,241
_ab50qdWOk0DdB6XOrBitw,29.95427350,-90.06896510,226
_C7QiQQc47AOEv4PE3Kong,29.92873544,-90.08419561,191
oBNrLz4EDhiscSlbOl8uAw,29.95102500,-90.06739400,173
VQcCL9PiNL_wkGf-uF3fjg,29.95647323,-90.06638605,159
iSRTaT9WngzB8JJ2YKJUig,29.94905690,-90.06704920,145
gTC8IQ_i8zXytWSly3Ttvg,29.94223587,-90.06709814,142
GBTPC53ZrG1ZBY3DT8Mbcw,29.95074163,-90.07041554,138
VaO-VW3e1kARkU9bP1E7Fw,29.95468043,-90.06894540,124
6a4gLLFSgr-Q6CZXDLzBGQ,29.94228030,-90.06726820,118
VVH6k9-ycttH3TV_lk5WfQ,29.96919530,-90.07896380,105
qb28j-FNX1_6xm7u372TZA,29.95770890,-90.06453700,102
ww3YJXu5c18aGZXWmm00qg,29.95986730,-90.06290270,98
XnQ84ylyAZwh-XfHGGNBbQ,29.96015742,-90.05985381,93
DcBLYSvOuWcNReolRVr12A,29.94756282,-90.06331086,92
9xdXS7jtWjCVzL4_oPGv9A,29.95554744,-90.06884397,87
ChlcxTEoWBQJXJ2Xb2vm5g,29.95558909,-90.06507223,84
RLlOK2fL6xU1sfIPiP2QBw,29.95534700,-90.06980600,83
BjeHLwKOlHyV6DJgmZxAjA,29.95312800,-90.06793000,82
mhrW9O0O5hXGXGnEYBVoag,29.94904170,-90.13222950,81
Y2Pfil51rNvTd_lFHwzb_g,29.95529400,-90.06707000,79
V9VLhHdSFpFi4yXFqVcVEA,29.94508840,-90.06909280,74
8uF-bhJFgT4Tn6DTb27viA,29.92942590,-90.07706870,72
TcNZXteosegb1RO4O5hREw,29.97368236,-90.09020807,71
W4ZEKkva9HpAdZG88juwyQ,29.95438680,-90.06836290,71
yz0KWVamNhqiZGz7XTClzg,29.95450401,-90.06643677,69
vN6v8m4DO45Z4pp8yxxF_w,29.93579900,-90.07190600,67
c-iKAO2GBzSKjm7y1Oljcw,29.95446800,-90.06960960,66
hfbZ97Te3T4jeWN6GgsGrQ,29.94832100,-90.07512200,63
Zi-F-YvyVOK0k5QD7lrLOg,29.95845760,-90.06318800,63
Vz2RN55rTJBGn43K1v84nA,29.95387900,-90.07162470,62
t9LiapsQABwMQeiF1Czl6w,29.96444200,-90.06177600,61
-Tskf8WK17rb3ZfeFuRSWA,29.95284990,-90.06820780,60
WXgV2lOUgas7DzTLeDau-w,29.92403920,-90.08601120,60
FEXhWNCMkv22qG04E83Qjg,29.95752500,-90.06186100,60
u7uFQCoHFtBKCtbWUm6yZw,29.94478690,-90.06737710,59
-VlBFlHwX-Pt6Xyzs9roGw,29.92623550,-90.10168062,59
PGd06nrseC2YAIqP6S9gUA,29.95519018,-90.07174943,59
iwmW2mgcn2YdirXUHCsgXQ,29.95461800,-90.06918000,59
EagkHaaC-kUozD3MPzbRIw,29.95825017,-90.06292324,59
e5fCI12X_GLCST668S4ROA,29.95761810,-90.06538890,57
I3Uy20BKx7G-Fzz6hLIeWg,29.95000000,-90.06683090,56
75FY8ZQx5nOWP0VFmNvWfw,29.92127150,-90.08785620,56
nk96iwJV1_p2HECYQW1ysA,29.96076740,-90.06808590,55
U4X-tzwvTzW8uWxs2KIPtg,29.95567580,-90.06520640,54
8UPv1p9GW-BiZtQqUt8nOA,29.97133250,-90.09238510,53
6Ty-KKWq6hLZYW8DWEHYvg,29.95818280,-90.06529740,53
EME5hqQLjBD7e2cLryupbA,29.95370470,-90.06601540,52
n_fUROdhfmLwd_mpBi55ew,29.95883123,-90.06107177,51
ku8cAVBLaF_4rI-yK6gNnQ,29.95600363,-90.06665594,50
9HvjjSwxxubIhG6E_sObfQ,29.96032920,-90.06378340,50
2DTkzhmMpv5fIPKheePClA,29.92113790,-90.09955900,50
S2Ho8yLxhKAa26pBAm6rxA,29.95221290,-90.06711580,50
jMZ56S8Y1t7cA1Ob-d-qeA,29.96322730,-90.05792770,49
gzMlFR9ViVCr_HUYPgqqVg,29.95713900,-90.06420800,49
Bj7DL3SwmYHZYqPduAsa2w,29.95540510,-90.06447660,49
BbnL_wJLB-EHvFx0dXuAjg,29.95486101,-90.06899313,47
IZZ_uR2ps5KuuyE0n--jVA,29.96151270,-90.04091190,47
g04aAvgol7IW8buqSbT4xA,29.95449446,-90.06659154,47
SJIQFKTW6uUsOo29w9IHxw,29.95666840,-90.06765130,46
eCikDKFbaeYVNdCD2beX0Q,29.96368708,-90.05763330,45
UGefDZNmnBztS0eoXWtHyQ,29.96133360,-90.03555170,43
DKtAKuOjI6vUAHhW4NR5UA,29.94450534,-90.06501613,42
3WU1ZobAqXQ07xYoKE2Vyg,29.95314330,-90.06779070,41
GmXC3CBu172Bkb0c6RnO7w,29.95544350,-90.06814710,41
ZDV6ocQSe6dkMt-u011xcQ,29.96082540,-90.06524290,40
8kh6Z3c8UHQKmsy0_TbOnA,29.94555615,-90.06990205,40
4WdDY97x4GdMYtyk1KQMnw,29.93212300,-90.07350463,39
Z4PF4EtM12L7nwOHZHFJNA,29.93909210,-90.07334450,37
g-IXI3v3fOudMsyLPKb-eQ,29.96656500,-90.05893070,37
e1WJ1qcgF2TBkoYzopeTgQ,29.96381880,-90.05766290,36
8NyDM-FDoWEEeEG9XUwnbg,29.95517900,-90.06535400,36
ZTctPm8-lBy0iJ9dFhYhyQ,29.94729770,-90.07150896,35
CG1Bb2MTraJYTHCPFm72XA,29.92440395,-90.08600218,35
yoQBK3OUDqWEFoUDE5lM4w,29.95883840,-90.06418470,35
I6L0Zxi5Ww0zEWSAVgngeQ,29.95584500,-90.06843610,35
nB7LcJIvZr-EbJj4oFZf-A,29.95336910,-90.07068030,35
FaY_9x8ZtsuHe5wS2iJM1Q,29.96212600,-90.06123600,34
pym7c6ZFEtmoH16xN2ApBg,29.97309430,-90.09591440,34
-lX4ufgPLYubI8rVxNM31w,29.95608290,-90.06403880,34
UnQriKTiNsYnyPE3Rt8lTQ,29.95746400,-90.06419800,34
Qlmusk0BBY0kMOd8Y96H4A,29.95503506,-90.06610000,33
yE6aDcbbK8pmvNroXnQYQA,29.95088560,-90.06874610,33
oFbwMxqaCJfIzAEmwaXD3Q,29.94996769,-90.07405301,33
oe-iacnzvyHV8zxaNqCf7A,29.95277000,-90.06644300,33
mRpk0A4u0hnF0lNe1h4hGg,29.93564200,-90.10412420,32
3db1R99-mdSvx3QwryJSNQ,29.94389900,-90.13392700,32
WNhcS2zi4zAqA2TbduVINQ,29.95466800,-90.07200800,32
9OCsSHr6OCSyR91BFIbszQ,29.95929170,-90.06075490,32
24f-qQokEN2UvBNHMWLm3A,29.95673680,-90.06639240,32
AhVvuzwWQU__CligbY4r0Q,29.93050600,-90.07507130,32
QA8QLpwf_YT9C2ST5YJ0vw,29.95507520,-90.06917490,32
nTBStZYJfHGdSZJbpaBiPA,29.95643150,-90.06451500,31
jXrhIVKcJ-upvglUmfC1pA,29.96028150,-90.06400230,31
UeYZgcORV2Veo_BZzdiaTg,29.95584635,-90.06518072,31
Fs4T7lKpXVtD5Pz7jWSJeg,29.92601250,-90.08253540,30
OCzo8T-76iJ_QVB2UX5SEQ,29.95663174,-90.06789651,30
oDETvkVkHw7CjZj7ZOZFOQ,29.95373030,-90.07119120,30
sitve7-2mPUQQ2bV8jLCRg,29.95535970,-90.06491450,30
JvawJ9bSr22xn4R9oLvl_w,29.95552699,-90.06815384,30
I0I2mkCOPTYVSLpc8A8VVw,29.94790470,-90.06749800,30
jar_5KMQZtgOseRdUN3L0w,29.92494330,-90.08531760,29
ECOUuwE5H1HHE8xBfNAjFg,29.95568500,-90.06388800,29
4w_TG6uA5bIxnC5tpkOb3g,29.96442972,-90.05791588,29
5CbJgHWgvjyDRw9Sl4BXhg,29.95849600,-90.06524040,29
OSi2ColCxhS9oCoAUNbPig,29.97232340,-90.09798820,28
yL9j5ASNic_DaDKf9lwMhw,29.92964720,-90.07721340,28
_h94BxrrFKPvzUIRx3Xkhg,29.95841840,-90.06610598,28
H41S-qS3NOUJSbIqWTuyIA,29.94862724,-90.06214142,28
3wo9jODQnuvBm8Gkem6qXg,29.96365700,-90.08947980,28
C26xmwM2_OgJJi2BbL3KkQ,29.95439239,-90.06874107,28
_LgI5387qAmMuS8i6h69cg,29.94657000,-90.06813000,28
voWjA6zfmXLIbKAoqwBnug,29.95480900,-90.06697300,27
TVDe34aKHkjaEOtCqffwbw,29.96012244,-90.05955609,27
04l8PYcuYQeEkEhJCbhtOA,29.95283800,-90.06605480,27
swVdc9piXvG0AXwL-F0GfQ,29.95332390,-90.07078980,27
PVieWiYn8GK9GSLnNFmOyA,29.98544520,-90.09517820,27
hPd6uMCjNglnOwwHpkY5Tg,29.95344700,-90.06517700,27
iJiNZw2TEwB579dr6LyVZQ,29.94231970,-90.13425230,26
mCRa6o1eEVQr1bqV4Wy6KQ,29.93759960,-90.07608190,26
GSOLNXG5-IPvNj0DPf3kOQ,29.95413950,-90.06608220,26
Gfegg1vwKJJo-EfEujQ-nw,29.92643760,-90.08013360,26
BHnCAV4_hgqgNZGdfXNJkA,29.97119810,-90.06770610,26
agK5cXwnBQozM2M-5kLvzw,29.95201070,-90.06863010,26
KlZvP_k_VEJV0G-6tTqnqQ,29.95671380,-90.06714040,26
H5KRna9A6mDQEJ2ZN0zL6g,29.92065550,-90.10007440,26
8jXmNMrGJ2acUG1R-D5e6w,29.92293874,-90.08848511,25
Meww6RIE4cFL_kG0aRlbAA,29.98051790,-90.09363400,25
oCbJpGl8IkH1WdYa25TDBA,29.96874820,-90.05109260,25
Bt7NBqA31uOI4H_hvasLLg,29.96536265,-90.05911566,25
stqWlKEgXweNQSsxOsHjVA,29.92253265,-90.09014368,25
R9TBf8VqGQ83kvdIxkC9RQ,29.96813020,-90.07854650,25
HKdAOvtDv47zPjceCjbz4Q,29.95498103,-90.06881475,25
ecI3FBTM0f99Fnml3kNKfg,29.95583220,-90.06865490,25
jQPg8OKiSVa-fwvd-XGzLQ,29.95422530,-90.06522028,25
k1yDRDZ4QCvNW9Wm9-IOaA,29.96218260,-90.06079140,24
nihvarTktbLi1CI_Dkep4Q,29.95902510,-90.06403410,24
TzkVUJab9Sh0CqDk2sCF-w,29.95730060,-90.06808210,24
yf8a1DOlqoqlKHuLSKEfxg,29.94582190,-90.13496870,24
uR7G8I4Cef9D9R340TN24Q,29.95044614,-90.06999861,24
u-wkhjV7CfvGJVY7hGULjw,29.94750617,-90.06345400,23
Cbktlvci_z4HwdqPUW-5cg,29.95608310,-90.06360090,23
WO-ofNAvSuJpdRt9Auon6w,29.94386000,-90.08632510,23
rsMbMeW7IbXxPFh4WwbddQ,29.94982892,-90.12780024,23
YrCOY3MmbmLKRJLblmSEgw,29.95571050,-90.06982730,22
0M1l6p96IffjQi9EZsdVhw,29.95316760,-90.06730470,22
YvrV_Tc9syF2Wch0HOIT3A,29.94406350,-90.06976790,22
OIbh0ZOemmphJR4Att3E6A,29.95702020,-90.06416030,22
zWfzgYe2nT9mHYm_vl1Ukw,29.98352389,-90.10525391,22
8eDkw7CE0NKqMknPIu26fw,29.94195800,-90.06526120,22
RTJiMomkeeDi5LZn0GhxQA,29.95503160,-90.06765380,22
RGXb-3iUuaORNWB_nt_RcQ,29.94438560,-90.06548580,22
W8YDBLJkvjVf0VUgXwE8VQ,29.95651200,-90.06819400,22
DnuRO4i1yI5REm5v1pUxWQ,29.97304085,-90.05642831,21
ZLrqw4KCwKyBlVqycUfNbg,29.95922360,-90.06046060,21
wVrJOXjRrPKIfZbNnrl3ow,29.96241871,-90.04288997,21
dpqDfbNpcIERkXVoE5S9Wg,29.95927600,-90.06098400,21
SBtjW_pKw3XaOKtKAavWZg,29.94189830,-90.07503780,21
miRxzEzV7OIShLQ5x_Lvvg,29.91740000,-90.11236600,21
dclL14pr7OojCOKJ_ZbMbQ,29.97542980,-90.09904730,21
60PRpOidld9weYzjWwlMaQ,29.95966600,-90.05954000,21
