business_id,latitude,longitude,review_count
ytynqOUb3hjKeJfRj5Tshw,39.95334146,-75.15885452,123
PP3BBaVxZLcJU54uP_wL6Q,39.93320106,-75.15926581,94
9PZxjhTIU7OgPIzuGi89Ew,39.94970200,-75.16177028,83
6ajnOk0GcY9xbb5Ocaw8Gw,39.95000700,-75.16215770,82
j-qtdD55OLfSqfsWuQTDJg,39.94917240,-75.17072730,81
ctHjyadbDQAtUFfkcAFEHw,39.94626115,-75.14513508,76
0RuvlgTnKFbX3IK0ZOOocA,39.94812255,-75.16246311,73
8pqdJjefYq-a9IBSJJmKwA,39.95100400,-75.17063600,64
AGlh4ZDv6jnoiYfz7At9mw,39.95539900,-75.15672700,62
IkY2ticzHEn4QFn8hQLSWg,39.93383678,-75.15881375,59
6_T2xzR74JqGCTPefAD8Tw,39.94966523,-75.15327270,56
OdIBX09glfXNVSyd0RnIeg,39.94770100,-75.16828690,56
i_FWONQD1ZBqrNE2b-M5Ug,39.94732722,-75.15354218,55
kZ1q0K13tFYG_ZJrVvsJHA,39.94953138,-75.16215703,54
RQAF6a0akMiot5lZZnMNNw,40.02949400,-75.20597140,52
sTPueJEwcRDj7ZJmG7okYA,39.94149800,-75.14927200,48
iUZEGx29miZObLd6_lt7Vg,39.96041479,-75.16860449,45
IWHdx0NhDKADkGOgXgOFKQ,39.95347837,-75.15939606,44
Sv1MEZP-mMfp8SmE0hwYEA,39.95540200,-75.15448400,43
ntiIq1FNqduOyyowMFGh5A,39.95540057,-75.15690110,42
q-zV08jt6U-q05SMEuQJAQ,39.91410651,-75.14872723,42
cGX-1IUwXOjkUqZbkKYcjw,39.95091660,-75.16297110,41
0oSSjekU-3GR8gselReWnA,39.94933380,-75.16617580,40
poviu-6n3iaRE4gdQz6OYw,39.95022160,-75.16655300,39
K7KHmHzxNwzqiijSJeKe_A,39.96394800,-75.14436400,39
-mIlmp5l4hKlp1tvHRdvTg,39.94991785,-75.14479208,38
EtKSTHV5Qx_Q7Aur9o4kQQ,39.95141659,-75.17376779,38
qISf5ojuYbD9h71NumGUQA,39.94852578,-75.14372780,37
2CDI713ATuxHfnB5b-sBdw,39.94793105,-75.16142798,37
S8ZFYEgMejpChID8tzKo9A,39.94858635,-75.14491312,37
Ipkx4Sa7ybn8C6LtTqTztw,39.94969930,-75.16218500,37
WxB8498ejPtHE7wFa89_fA,39.95193080,-75.17045290,36
LM54ufrINJWoTN5imV8Etw,39.92102739,-75.14502844,34
nIAbuktMEzVjT4P9pG89rQ,39.94891860,-75.14716670,33
jxEMFqwDJXjCxmcm5t5jVQ,39.95141030,-75.17060110,33
atZ_olNKXOG4rEr6mccN8g,39.95376400,-75.15921800,32
K3RURR9lIEE4JjOaPt99zg,39.93887100,-75.15823600,32
ZKPrXH_GNW_AtZ31tP3NmA,39.95355820,-75.19290540,31
pXRrRf8fDv6yU3xp1E25hA,39.94778700,-75.16229300,31
dG-gZOWzn8iO1Rvv_fbXxA,39.96132710,-75.14603280,31
d_tRshM-w6S4QxE4VVi8tQ,39.94931440,-75.15252540,30
JHRlwxxKY0JJcU97rJ-Bug,39.94958900,-75.14391000,30
rgeuy1qbw6Z8B6CSVANHIA,39.95058900,-75.16832900,28
eJaeTZlIdM3HWCq__Ve4Wg,39.95094830,-75.17041970,27
iksVwRfpWymIUUFqw0tXpw,39.95501040,-75.15613420,27
h7TO_IsmLCYmKKDVOOIeFw,39.94813180,-75.15339500,27
of-GVqY0G_UDHXT9Xg_ADQ,39.94951230,-75.16176610,27
_LOJW0XkOpj4O348GVRDeQ,39.94995420,-75.16214230,26
aUoMG97DMJG4nmwhT6z1zA,39.94949000,-75.17066000,26
TwnzM8mJn_nT2PJf1x-9kQ,39.96034600,-75.15970600,26
lKU_kljhbEQKIPaM1Zbqiw,39.94778644,-75.16189281,26
_V6hl1oGkTV2KbGeax_HPA,39.95639860,-75.15428730,26
30cpm1uq6xcQCmN6JTrB8w,39.95050670,-75.16913750,26
gOrJeoLDOiW7muWuoE-sMg,39.95490302,-75.13891253,26
73UjNbSoQjQAOS45rcihFg,39.96481950,-75.14023220,25
jkGQQ4_LgJx3hwPtCFkzbQ,39.94910001,-75.16617488,25
R17gwW6zn9ilslbdvKdgsg,39.95008080,-75.16852650,25
Dv6RfXLYe1atjgz3Xf4GGw,39.95077400,-75.17039700,25
ELY0HI8GDEx0jkmREVna0A,39.96943900,-75.13464700,24
4R2KR_-FybS7oegGrXjHVg,39.95095640,-75.16545910,24
vUrTGX_7HxqeoQ_6QCVz6g,39.97368650,-75.13395578,24
JUlsvVAvZvGHWFfkKm0nlg,39.96730040,-75.14039840,24
cOXc8c85Ms6dMEAJazLXHQ,39.95016800,-75.16260700,23
mUIBtlWNPD7sz3rGGWQ1RA,39.94633220,-75.15794780,23
mtvT7uRey3F395STFRM1Tg,39.95075900,-75.17484610,23
FqOCC8Y9xryaX7sIBJcrxA,39.95157730,-75.17483400,23
FHNIvNgh3fS7VZQq2Y3dsA,39.94679490,-75.15770250,23
qY-BUQY-SFBaSrFHowF3nA,39.95508368,-75.15529173,23
rYqmaOIULRouz_1db07OdQ,39.93134800,-75.16649700,23
BWITd9JUXP3gSi1z3Y-z8g,40.00787460,-75.19240720,23
6ewV-e7-39oqYUq3yZuIyw,39.95987920,-75.19068150,22
8j3blTZChklt3j89jxx0fw,39.94230586,-75.15469842,22
E_h2yNoagLK-3ODYwMPErw,39.95089351,-75.17222203,22
2er_V-oAd7IbQ5YTY56r7A,39.94893340,-75.15950880,22
F8yozE3NWnImNApHO347gQ,39.94204360,-75.14951020,22
cXSyVvOr9YRN9diDkaWs0Q,39.96399000,-75.14448220,22
sVZb87xjhbCWHQ2UXOGLrA,39.94533938,-75.16445446,21
GoYSJ-YY-YwbxdgasHuq-Q,39.94519500,-75.16108200,21
iWy6Wft0MMO9Ud2wM93frg,39.94189390,-75.17945840,21
05ev984NYfimRN0UiFrxaA,39.96501500,-75.16107600,21
JrG4NINLspXPNhSXg7Q07Q,39.97020070,-75.13563430,21
qsm7SkX60JsajT7Yz248FA,40.05502050,-75.12603340,21
-DGsnMlRrR_tv8avrpQLQw,39.94086070,-75.15890450,21
kbXpjBSweedxQ1WrlJ5i7Q,39.95024700,-75.16759800,21
AaTpjyw-EiODgi3tR4Xr-g,39.94839205,-75.16535023,20
6_LnAQQ0-mml8YgpfRjGuA,39.95496270,-75.21185110,20
trwHwsXOVV-ZmF-MtP98BA,39.94957900,-75.15538310,20
HPqTJ_yF2ZJw87yHWnSzSg,39.94714276,-75.14450956,20
bjPUhanWoinHi2kywvVzBA,39.94649960,-75.16176520,20
gnpyyeWQ53WlDMJEq-YA_w,39.95150110,-75.17384490,20
ysvzP0VvMTrGmUClKJ3img,39.94336681,-75.16388203,20
617w8MQE3z1szmLvs0WfCw,39.95065930,-75.17054768,20
ZGH8MzJa7Q7iIpmtzBAJAQ,40.02247100,-75.21880000,20
Iw8uqNPxviwcgxtruAx_LA,39.94879300,-75.16620550,20
xQE1fuwKCXJEBcJgSSCNbw,39.95720700,-75.16998270,19
eaDZlSuVS0EY67Ke6pRP6Q,39.95404400,-75.15598000,19
2WGnykxiM-Mp-qIm2u7iAw,39.95319920,-75.16022780,19
hUmHwBQtGg0iH-PZakQJDw,39.97170900,-75.13506200,19
J8S7cPPlTgsQnXKVfTyN8g,39.96650501,-75.13914930,19
MMRRS6YhVRx_iN5-JhMRYg,39.95671052,-75.19710278,19
kxKai8GE5oDMPevV7oxvbA,39.94851270,-75.16803220,19
wB1Tin0OW1JRpaKM-E3ZYA,39.94954430,-75.14598720,19
ozOneB4jXOD6hv5WBGj4KQ,39.92635530,-75.16893670,19
kVTHnhgYUw-Pmr7wgDB4_g,39.95588130,-75.20200310,19
Jg9kkOl4sx2AXJVohbpSiw,39.93535400,-75.15880100,19
L4kfcADLCU4T33i7Z0CkuA,39.94193725,-75.14468349,19
vXb4OWsjPoiBtmarfexj-g,39.96236330,-75.14074240,19
-0TffRSXXIlBYVbb5AwfTg,39.94850783,-75.16196882,19
M_EpyAH1CZZVlhxfYBLOqg,39.94183680,-75.15383700,19
CYSPKiVdoPX3erovujnE9Q,39.95041704,-75.16642828,18
rVGxva6cx2eID4ghDLVHJg,39.94984930,-75.16154890,18
R3FDYMQBrMpkUquwE-eniQ,39.94969275,-75.14362313,18
7hpUoYdAVToZXwuPRgoqdA,39.94195163,-75.15735620,18
DZglT5FP5VNDQJU3PuRIHw,39.96753400,-75.17607340,18
-1B9pP_CrRBJYPICE5WbRA,39.95035200,-75.16158290,18
03jQGGJ2ch0uHTtW-UUUqg,39.94049150,-75.14968270,18
htO_nlxkEsYHzDrtbiUxew,39.95060990,-75.17236800,18
6CUkqed0rhHtFwQ2i7Otsw,39.92808460,-75.16525450,18
vhDWGF-8BfsxvS7Zo5Wv2w,39.95075087,-75.16828128,18
sy7ADvpBA7SfHwbY-Y_5gw,39.94679410,-75.16222210,18
-OIUunijjcq_ZzyyQhPPFQ,39.96716420,-75.17489690,18
dQZlvOEVNke30MY5iTiy1g,39.95100100,-75.16874000,18
wbDRmtxaKRpBOjutvV6TEA,39.94870960,-75.17087430,18
mlrzM-jUkKot28XJhScuuA,39.95022750,-75.16686350,18
oqbhVgliVJH-iRa3AnD-3A,39.94933334,-75.16673265,17
V0SHmvYtXqdv8-AsqshV6w,39.94953956,-75.15891910,17
KVFUBgmPEHGUaJNkpMGcLw,39.94998187,-75.16244076,17
fOhnSqmO4XY5vSI8whVKSA,39.94969930,-75.14578150,17
FD7gMovIYQmhdn23Iq91zQ,39.94159600,-75.14781010,17
7pAgxBMUjrVPH7xh3fn-gw,39.94969890,-75.14416080,17
ME7nOO4hHoCwkbssGqsyPA,39.94271391,-75.15213878,17
Q-prSTdggNlxAEFV88BZOw,39.94662380,-75.16091390,17
-cEFKAznWmI0cledNOIQ7w,39.95127890,-75.16951810,17
REiAM73RkOxFqCVlEFiRWA,39.94168020,-75.15191590,17
irXywqvfXj9maLLOBQMYvg,39.95498440,-75.21152320,17
itv5mVA2lkp_ivhSdmKGgw,40.03855551,-75.12427960,17
csS_UrBujOvjASbX3gLW7w,39.95408681,-75.20095923,17
fivoAD6x6jXJRiEZwhpcEQ,39.94486802,-75.16325011,17
GUMVStVaJfWmCIpQA4TtHg,39.95204500,-75.17167000,17
6x9hcZ1CJ4S9avBgPGS7-Q,39.96909220,-75.13426600,16
SDL247FlOnScJfuNjZESxg,39.94860840,-75.17403230,16
luv3Y2AjoOhxYRY_u5tRJA,40.02477310,-75.22131620,16
_tt4nysrN8JpzLLVXL-z5A,39.94125137,-75.15261806,16
SCjUeZfjafJ88fWWQjRh2w,39.95225980,-75.17403230,16
BxfvdHqETU8jWYUjx5OL2A,39.95122563,-75.17378926,16
jS3affmkXWrBnidXA-DIfQ,39.95203010,-75.17489601,16
9mA9qYqiv4c0T9ASid3PIQ,39.95061347,-75.16360803,16
Zqd_DHAtrdzRJ8u3zwrvEA,39.95328400,-75.15940300,16
oBhJuukGRqPVvYBfTkhuZA,39.95080110,-75.16861080,16
TunmRrfZb7bt53T6HJi4UQ,39.94639863,-75.15780070,16
1UNJeHTsS7WS9RxRzHw06g,39.94620439,-75.15779929,16
QGYzYUMsQe6k7__LD91E5w,39.95322900,-75.15658200,16
phsLOuBeiYI43hglvWK96Q,39.94879610,-75.16974490,16
rQW9iupvhk6ScPn2VPNLVQ,39.95293200,-75.17329300,15
R0JUjyjGEzUlY3auVhY_tg,39.96441251,-75.14032773,15
UQZ4p6xb_7gY7UXHmBzceg,39.95328890,-75.15785430,15
RadvqFuRTZNEfSZ_avPRog,39.95322030,-75.21025190,15
LwX2vbzttWYAdoBoVtfvRg,39.95430926,-75.20135247,15
YPLfRswyryjjW3VJa-SdaA,39.94167875,-75.14878759,15
-ATiAtTikuGuqvaW2O6tNA,39.95048336,-75.16733059,15
jHVotJhyPKOLuO7MVnmbtQ,39.93700150,-75.15450390,15
un0xxX785wfQfprryh0TjQ,40.02630358,-75.22553607,15
bq0n3CQy1CkE_WUe76zQvg,39.95524708,-75.15540870,15
jXtaxB2b64nA4uy13i024A,39.93998900,-75.15285400,15
3ldp8B52AOzNSFnPMAY0ww,39.96923580,-75.13478800,15
BryQISFnkCdcJET-tpAx3w,39.94142312,-75.15248960,15
sb8-TzsXOV7IsErbpHZo3g,39.94665790,-75.14472400,15
YzluF3FNGjnW-tOrLZt8JA,39.95090730,-75.17239290,15
-hsR1sWeD9Vw_nh5Qym2fg,40.00737000,-75.19134700,15
_OgwyI_0mGs620_ZfKgzbg,40.02057360,-75.13379870,15
3gVSrS4kffGGZT8oXHsIcw,39.95397077,-75.19603699,15
_f3JQU6IXpGmTLaSqGy79g,39.95031523,-75.16248654,15
7lwe7n-Yc-V9E_HfLAeylg,39.94565660,-75.17477330,15
Y7EalRsCafsApK5DcL_mTg,39.93580850,-75.16205740,15
nR3VW9i2K8033QY0ZMTisw,39.94816300,-75.14371620,15
RnhLCG4N9MPy6ZRzq787Cg,39.95214000,-75.17221620,15
qsAZNQ-6P4I9r7onkBZJ_g,39.94258470,-75.15709640,15
d28lZlSps97FHhXZazJ8zA,39.94862720,-75.16663560,15
u7_3L1NBWgxhBM_B-cmmnA,39.96088800,-75.17121300,15
NFzfuIFghE-HnrodHpaT6A,39.94774530,-75.15954200,15
_34KJPR-T0HP9USJw1nCfw,39.95001000,-75.15886200,14
el-WV1mOpFmrQOowLnh4aw,39.97336200,-75.13361500,14
cwn_MBPFUJtme68WURSgKA,39.94120930,-75.15223910,14
99e7bysta1myyrQogFEWUQ,39.94773064,-75.22277619,14
y1Z9tymuBGVDZnYZoLk-2Q,39.95000070,-75.14612400,14
e3Y3hDpwHc9RmQlJtIgHuw,39.94991250,-75.17364480,14
g2zwbLIqxtN9nGGuL43trg,39.98067460,-75.12809680,14
mf0OyZ6DX2iKUFIV9TqFRQ,39.94856580,-75.15985080,14
9gObo5ltOMo6UgsaXaHPWA,39.95161726,-75.16719046,14
6zEWIsb6Lhr3BeoC3gm1lw,39.87742287,-75.24052072,14
dChRGpit9fM_kZK5pafNyA,39.95065550,-75.17089910,14
