business_id,latitude,longitude,review_count
UCMSWPqzXjd7QHq7v8PJjQ,32.25552801,-110.94349236,146
LZzDvgfpkd4nI3E4L9wF1w,32.22571280,-110.97462380,94
Rv8bW3pkzpi5dZu5ckbgtA,32.27177400,-110.95323500,80
WSx9-iYYyST_umny9sJBFg,32.32456400,-110.97587550,80
tV46IhCfHbsx_af-pMupiw,32.22306754,-110.96950568,77
hyeo7JQr5uLp-St1MibYAA,32.21964330,-110.84332430,73
j8feOxyJqlIJWOi8su2qzw,32.23667500,-110.86502800,71
zZ01WQlcpI1_n806WKV3bA,32.25076270,-110.93413150,70
14QP5lOdrTAVVCDDuHIAUg,32.22152180,-110.93410640,65
wj8XtPyuREj8_0GQz3LZ6w,32.32151772,-110.93060712,61
muxda1cSVtplETqTfYVgZA,32.22185340,-110.96766160,58
jmwasbZfgj3honf79qKsnA,32.22196420,-110.97218830,55
UjQnH-pElJZ9jD51vOt5Rw,32.33545330,-110.97815200,54
6pVVwtFmd7VBsgyFPHvU_w,32.28623470,-110.94245200,52
uSIGgRScZmpWlEcHtoaWlA,32.32474250,-110.92999680,52
u6P6I5PZnSlnILY5nFWBJA,32.22204126,-110.86096296,50
dOOvB4HW-b0mWDpcvY5h-g,32.22336397,-110.96970981,50
J-Go00lYW4f4a3lLLtoh_A,32.25013880,-110.92799600,49
zwrgCMuZyFX46mL3piDyjg,32.22219865,-110.96662646,49
43MDfrU28FYjfpamNfL9GA,32.28774640,-110.94463350,48
iOFbMitGdfU6i5xm4nZ8Ww,32.25441290,-110.94351520,48
KZA_HEOsBXf8dtrk9rqNJA,32.25014061,-110.85498292,48
6Cs52T0ItZ5TQ5Qx-UGaMw,32.26059100,-110.94385000,47
4QMIJJWQOh7zpEwOXhFJqw,32.25243280,-110.84154890,46
U782dba0FoFLi3cmXbo88Q,32.22216040,-110.88737680,44
DVBJRvnCpkqaYl6nHroaMg,32.22770549,-110.93472250,44
YSRM9nWQn40eg49tSiI-_Q,32.19996381,-110.96515004,44
0ghzROkZWKWwQKDt1fkPAQ,32.25189730,-110.97752490,44
4r6N_Fhiwoqo_FqQ7Mm6mQ,32.22849530,-110.96578650,42
OMT709IPPEwN91CAXpe9dw,32.22062370,-110.96840670,42
0kEyHYpI6ixtq87LV6I1Aw,32.22203655,-110.91782933,42
WZUIlyefoUhuH_VkVCEyAw,32.32502500,-110.92849800,42
yjcIKn2T2QY_DjXWACsAFw,32.25216000,-110.88983400,41
5s7I0Khg7ReVzfO7niJtKg,32.23725570,-110.89659720,41
9zlIJ7Q5W4AENjpGgaNSsQ,32.22186050,-110.93204750,41
kjDXbqCihUxgDvQn1n57hA,32.22202860,-110.97115760,41
CA5BOxKRDPGJgdUQ8OUOpw,32.22309212,-110.96662733,41
3aY8m5w6UnxXbRMhEUPUMg,32.25007800,-110.85552480,40
8Vk_2t7hQI02IhpcRnfAIw,32.22179970,-110.96592180,40
BJOGo_upuBElDT_xOaurIA,32.32207924,-110.92752114,40
5P4w4WfPbXzUi6YALfwx2g,32.22139430,-110.84003220,39
OxBZqeYH5xuusEPp9ml7-g,32.15759750,-110.97713860,39
xNd_x23g7wiGAjmm5HXfPA,32.20803200,-110.84134530,38
8Mzu_wczdzv9dU_Gr6OR8A,32.23582190,-110.90293050,38
jwEHfhS7uLK4TJgGPfnWDw,32.25005700,-110.93437710,38
Bq0CQcwk5R8yhm-MGfHxCA,32.31499300,-110.97780900,38
szad9yEwckNw0P3L5FGyNQ,32.26079072,-110.94333762,38
no8Sj8Eflgka2LFdrYFG_Q,32.26192270,-110.94353840,37
LmZWlvPJBwj5WG2KHV-v1Q,32.22114450,-110.92702930,37
